po_id,supplier_name_raw,true_supplier,true_category,item_description,business_unit,order_qty,invoice_value
PO101590,FENNER INDIA,Fenner Conveyor Belting India,Conveyor & Handling,CONVEYOR BELT 1200mm EP500/4,Coke Oven,300,21612174.0
PO101591,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Blast Furnace,460,39020930.6
PO101592,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Coke Oven,410,13038192.7
PO101593,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Steel Melt Shop,45,664872.3
PO101594,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Blast Furnace,187,19704103.98
PO101595,shanthi gears,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Central Maintenance,24,9134817.12
PO101596,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Coke Oven,252,77817355.56
PO101597,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Coke Oven,340,6388025.4
PO101598,Elecon Engineering,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Plate Mill,439,152829750.45
PO101599,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Sinter Plant,374,107705058.56
PO101600,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Sinter Plant,463,4947029.99
PO101601,castrol india,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Steel Melt Shop,482,8114200.08
PO101602,castrol india,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Plate Mill,138,2970808.8
PO101603,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Power Plant,332,18204595.84
PO101604,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,vacuum pump RH,Blast Furnace,162,37701268.56
PO101605,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Power Plant,127,9918910.82
PO101606,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Hot Strip Mill,328,17164777.92
PO101607,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Coke Oven,116,12904571.96
PO101608,SKF India Ltd,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Sinter Plant,54,1229218.74
PO101609,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,ladle slide gate plate,Sinter Plant,414,16467947.1
PO101610,Vesuvius India Ltd,Vesuvius India Limited,Refractories,castable LC 60% alumina 25kg,Plate Mill,312,6866343.12
PO101611,atlas copco,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Central Maintenance,200,19106730.0
PO101612,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Hot Strip Mill,133,2384973.29
PO101613,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Coke Oven,291,93216262.8
PO101614,Castrol India Ltd,Castrol India Limited,Lubricants,turbine oil 46,Plate Mill,215,3660562.05
PO101615,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Sinter Plant,258,29275910.16
PO101616,CASTROL INDIA,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Steel Melt Shop,45,935113.05
PO101617,Castrol India Ltd,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Blast Furnace,40,695490.8
PO101618,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Power Plant,147,15248995.02
PO101619,CASTROL INDIA,Castrol India Limited,Lubricants,turbine oil 46,Steel Melt Shop,478,8317410.32
PO101620,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Power Plant,316,3541914.44
PO101621,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Central Maintenance,384,4371052.8
PO101622,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Hot Strip Mill,346,76881660.18
PO101623,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Power Plant,430,24609643.9
PO101624,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Coke Oven,88,1300554.64
PO101625,KBL,Kirloskar Brothers Limited,Pumps & Compressors,submersible pump 30HP,Sinter Plant,436,84812442.2
PO101626,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Coke Oven,136,1585051.44
PO101627,atlas copco,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Central Maintenance,476,106003215.08
PO101628,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Central Maintenance,435,64169908.05
PO101629,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Power Plant,182,25598103.44
PO101630,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Hot Strip Mill,52,826834.84
PO101631,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Coke Oven,468,7958124.72
PO101632,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Sinter Plant,192,2560523.52
PO101633,SMC India,SMC Pneumatics India Limited,Pneumatics,solenoid valve 5/2 1/4in,Hot Strip Mill,225,5480311.5
PO101634,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Steel Melt Shop,223,1697765.9
PO101635,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Blast Furnace,21,3112883.97
PO101636,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Steel Melt Shop,102,38886019.98
PO101637,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Plate Mill,282,4840126.74
PO101638,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Hot Strip Mill,400,46096300.0
PO101639,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,solenoid valve 5/2 1/4in,Plate Mill,56,1542770.88
PO101640,SKF India Ltd,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Power Plant,393,8192686.29
PO101641,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Sinter Plant,378,25082900.64
PO101642,S.K.F. India Limited,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Hot Strip Mill,390,6187178.4
PO101643,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Power Plant,393,56158017.96
PO101644,Elecon Engineering,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Coke Oven,362,120856248.48
PO101645,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Steel Melt Shop,303,51899488.32
PO101646,Elecon Engineering,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Power Plant,20,3766488.6
PO101647,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Power Plant,103,5412482.11
PO101648,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,idler roller 152dia,Plate Mill,359,28503946.62
PO101649,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Sinter Plant,32,558154.88
PO101650,SMC India,SMC Pneumatics India Limited,Pneumatics,air filter regulator G3/8,Coke Oven,187,2910656.87
PO101651,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Plate Mill,25,4049524.0
PO101652,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Power Plant,242,46010390.36
PO101653,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Steel Melt Shop,486,121746839.4
PO101654,Festo India,Festo India Private Limited,Pneumatics,FRL unit 1/2in air prep,Plate Mill,7,174869.1
PO101655,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,PLC S7 input card,Coke Oven,186,19084866.66
PO101656,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Hot Strip Mill,108,1632474.0
PO101657,castrol india,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Coke Oven,309,2434156.77
PO101658,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Sinter Plant,474,3573362.76
PO101659,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,VFD 132KW 415V drive,Blast Furnace,390,20818948.8
PO101660,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Plate Mill,215,57499980.55
PO101661,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Central Maintenance,368,3602668.48
PO101662,SKF India Ltd,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Sinter Plant,477,12436658.82
PO101663,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Coke Oven,67,704748.88
PO101664,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Hot Strip Mill,204,16329661.44
PO101665,SKF INDIA,SKF India Limited,Bearings & Spares,plummer block SNH 517,Sinter Plant,261,3912632.73
PO101666,Elecon Engineering,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Central Maintenance,2,311521.74
PO101667,SCHAEFFLER INDIA,Schaeffler India Limited,Bearings & Spares,deep groove ball brg 6312,Sinter Plant,369,6545665.17
PO101668,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Coke Oven,283,2223816.83
PO101669,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Sinter Plant,328,49976667.92
PO101670,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Steel Melt Shop,27,4686331.14
PO101671,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Steel Melt Shop,178,20009239.88
PO101672,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Power Plant,453,71495852.97
PO101673,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Plate Mill,151,18099364.34
PO101674,ELECON,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Steel Melt Shop,495,94045683.6
PO101675,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,PLC S7 input card,Coke Oven,353,24625375.31
PO101676,KBL,Kirloskar Brothers Limited,Pumps & Compressors,vacuum pump RH,Hot Strip Mill,113,13537450.85
PO101677,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Central Maintenance,374,8101804.92
PO101678,Festo India,Festo India Private Limited,Pneumatics,solenoid valve 5/2 1/4in,Central Maintenance,93,1836724.89
PO101679,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Hot Strip Mill,93,16222767.48
PO101680,atlas copco,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Steel Melt Shop,419,55148507.65
PO101681,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Steel Melt Shop,219,39451229.4
PO101682,L&T,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Power Plant,71,7180626.18
PO101683,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Hot Strip Mill,57,1346223.72
PO101684,shanthi gears,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Blast Furnace,43,8021639.25
PO101685,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Coke Oven,55,8616330.8
PO101686,ELECON,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Sinter Plant,389,105409450.05
PO101687,S.K.F. India Limited,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Steel Melt Shop,80,980341.6
PO101688,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Power Plant,23,1238805.07
PO101689,Elecon Engineering,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Power Plant,468,81503814.6
PO101690,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Steel Melt Shop,336,64524774.72
PO101691,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Steel Melt Shop,57,677056.83
PO101692,IOCL,Indian Oil Corporation Limited,Lubricants,EP2 grease lithium 18kg,Hot Strip Mill,61,709045.7
PO101693,Elecon Engineering,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Hot Strip Mill,272,55968188.8
PO101694,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Steel Melt Shop,352,40819426.56
PO101695,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Blast Furnace,256,76609349.12
PO101696,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Hot Strip Mill,77,15126303.5
PO101697,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Steel Melt Shop,370,8524278.3
PO101698,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,MAG CARBON BRICK MgO-C 14%,Plate Mill,492,24878078.4
PO101699,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Central Maintenance,94,18303067.12
PO101700,S.K.F. India Limited,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Hot Strip Mill,356,9423515.8
PO101701,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,vacuum pump RH,Central Maintenance,335,73951662.05
PO101702,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Steel Melt Shop,253,18097851.53
PO101703,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Steel Melt Shop,216,8958824.64
PO101704,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Central Maintenance,2,336275.96
PO101705,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Hot Strip Mill,472,39466950.24
PO101706,shanthi gears,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Coke Oven,74,25817280.58
PO101707,Elecon Engineering,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Hot Strip Mill,115,14487421.7
PO101708,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Blast Furnace,14,295041.46
PO101709,CASTROL INDIA,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Blast Furnace,340,5124843.8
PO101710,Elecon Engineering,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Power Plant,73,9679221.84
PO101711,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Central Maintenance,94,22969154.74
PO101712,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Sinter Plant,173,2795245.77
PO101713,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,solenoid valve 5/2 1/4in,Hot Strip Mill,31,918191.48
PO101714,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Sinter Plant,427,38135408.43
PO101715,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Power Plant,217,25988347.49
PO101716,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Coke Oven,65,12388335.05
PO101717,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Central Maintenance,422,9303800.24
PO101718,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Blast Furnace,335,6705651.45
PO101719,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Steel Melt Shop,332,45382242.0
PO101720,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Coke Oven,309,39724143.9
PO101721,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Sinter Plant,278,39044783.08
PO101722,Elecon Engineering,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Sinter Plant,104,30428240.96
PO101723,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Blast Furnace,292,30633734.6
PO101724,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Sinter Plant,48,7044372.48
PO101725,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Hot Strip Mill,257,25169384.95
PO101726,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Hot Strip Mill,50,558428.0
PO101727,Rexroth India,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Sinter Plant,408,34567126.8
PO101728,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Coke Oven,350,84856933.0
PO101729,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Plate Mill,414,74589013.8
PO101730,SKF INDIA,SKF India Limited,Bearings & Spares,plummer block SNH 517,Blast Furnace,68,959541.2
PO101731,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Steel Melt Shop,397,71621031.14
PO101732,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Blast Furnace,291,49789066.95
PO101733,Elecon Engineering,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Steel Melt Shop,446,88543978.6
PO101734,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Sinter Plant,87,2237125.83
PO101735,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,tundish nozzle SEN 70mm,Sinter Plant,181,3902347.33
PO101736,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Steel Melt Shop,132,25604269.68
PO101737,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Power Plant,250,17922790.0
PO101738,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,submersible pump 30HP,Plate Mill,470,84608850.1
PO101739,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Blast Furnace,350,5445051.5
PO101740,Castrol India Ltd,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Hot Strip Mill,330,2273739.6
PO101741,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,vacuum pump RH,Steel Melt Shop,149,19148566.63
PO101742,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Central Maintenance,448,108510828.16
PO101743,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Steel Melt Shop,274,6864376.78
PO101744,ELECON,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Coke Oven,56,20854044.96
PO101745,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Coke Oven,34,465359.7
PO101746,CASTROL INDIA,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Hot Strip Mill,244,1899171.56
PO101747,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Power Plant,75,12989742.75
PO101748,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Coke Oven,414,34132209.3
PO101749,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hydraulic hose R2 1in,Sinter Plant,445,20040650.65
PO101750,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Power Plant,91,12185547.01
PO101751,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Sinter Plant,448,54297080.32
PO101752,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Sinter Plant,28,3820269.6
PO101753,ELECON,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Hot Strip Mill,179,67911760.49
PO101754,atlas copco,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Blast Furnace,224,27987234.24
PO101755,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,castable LC 60% alumina 25kg,Plate Mill,458,20458562.3
PO101756,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Blast Furnace,422,8713422.24
PO101757,ELECON,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Steel Melt Shop,235,88612002.25
PO101758,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Central Maintenance,346,46253051.64
PO101759,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Blast Furnace,439,37862086.19
PO101760,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Power Plant,97,22326525.89
PO101761,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Plate Mill,108,41297017.32
PO101762,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Central Maintenance,9,1044257.58
PO101763,CASTROL INDIA,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Power Plant,234,2915462.16
PO101764,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Power Plant,392,22028236.16
PO101765,S.K.F. India Limited,SKF India Limited,Bearings & Spares,plummer block SNH 517,Power Plant,284,5424510.76
PO101766,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Steel Melt Shop,338,103740815.62
PO101767,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Power Plant,413,85281456.19
PO101768,FESTO INDIA,Festo India Private Limited,Pneumatics,PNEU CYLINDER DSBC 63x200,Central Maintenance,384,10210717.44
PO101769,SCHAEFFLER INDIA,Schaeffler India Limited,Bearings & Spares,plummer block SNH 517,Coke Oven,413,3360329.07
PO101770,Elecon Engineering,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Central Maintenance,233,62386714.62
PO101771,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Power Plant,180,41134881.6
PO101772,Rexroth India,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Sinter Plant,192,24755070.72
PO101773,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Blast Furnace,136,15905205.44
PO101774,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,screw compressor 250cfm,Plate Mill,213,15021188.13
PO101775,KIRLOSKAR BROTHERS,Kirloskar Brothers Limited,Pumps & Compressors,submersible pump 30HP,Plate Mill,266,54153825.46
PO101776,Elecon Engineering,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Coke Oven,293,115427095.09
PO101777,INDIAN OIL,Indian Oil Corporation Limited,Lubricants,turbine oil 46,Hot Strip Mill,202,3822926.76
PO101778,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Plate Mill,200,46034620.0
PO101779,FENNER INDIA,Fenner Conveyor Belting India,Conveyor & Handling,idler roller 152dia,Steel Melt Shop,224,10755498.88
PO101780,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Hot Strip Mill,402,4870386.78
PO101781,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Blast Furnace,105,8479800.0
PO101782,castrol india,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Power Plant,304,2549818.24
PO101783,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Hot Strip Mill,376,21404010.56
PO101784,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Power Plant,460,79774115.4
PO101785,L&T,Larsen and Toubro Limited,Electrical & Automation,VFD 132KW 415V drive,Blast Furnace,338,13421692.7
PO101786,Castrol India Ltd,Castrol India Limited,Lubricants,turbine oil 46,Steel Melt Shop,297,5798702.25
PO101787,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,PNEU CYLINDER DSBC 63x200,Steel Melt Shop,145,2193948.6
PO101788,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Steel Melt Shop,186,4705431.72
PO101789,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Coke Oven,12,186816.36
PO101790,castrol india,Castrol India Limited,Lubricants,turbine oil 46,Hot Strip Mill,193,3836749.29
PO101791,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Steel Melt Shop,6,2210643.12
PO101792,atlas copco,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Hot Strip Mill,178,26127010.88
PO101793,Fenner India,Fenner Conveyor Belting India,Conveyor & Handling,CONVEYOR BELT 1200mm EP500/4,Blast Furnace,131,13397827.19
PO101794,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,CONVEYOR BELT 1200mm EP500/4,Coke Oven,390,16334366.1
PO101795,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Sinter Plant,71,4741635.6
PO101796,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Central Maintenance,103,39410230.8
PO101797,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,VFD 132KW 415V drive,Sinter Plant,254,18969136.56
PO101798,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Power Plant,352,123892112.96
PO101799,Festo India Pvt Ltd,Festo India Private Limited,Pneumatics,solenoid valve 5/2 1/4in,Coke Oven,407,10962504.3
PO101800,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Sinter Plant,250,34564177.5
PO101801,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,vacuum pump RH,Coke Oven,319,26533619.31
PO101802,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,tundish nozzle SEN 70mm,Hot Strip Mill,192,11204008.32
PO101803,atlas copco,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Sinter Plant,491,74346876.3
PO101804,T R L KROSAKI,TRL Krosaki Refractories Limited,Refractories,ladle slide gate plate,Power Plant,450,21083382.0
PO101805,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Plate Mill,93,12266604.21
PO101806,SHANTHI GEARS,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Plate Mill,111,33065681.22
PO101807,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Coke Oven,164,50323667.32
PO101808,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Power Plant,408,5618339.52
PO101809,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Steel Melt Shop,109,28426877.36
